Layer,Neurons,Nonzero,Max,Mean,Std,Gini,Hot@80%,Hot@80% %,Hot@90%,Hot@90% %,Hot@95%,Hot@95% %
0,11008,11001,357568,36575.42868822674,42841.36299829408,0.5327777214455192,4551,41.34265988372093,6355,57.73074127906977,7788,70.74854651162791
1,11008,11008,362012,41145.97556322674,27094.57907886698,0.2930200345468472,6996,63.553779069767444,8692,78.96075581395348,9700,88.11773255813954
2,11008,11008,365325,36590.72783430233,20446.945967293184,0.23685798901283456,7419,67.39643895348837,8983,81.60428779069767,9882,89.77107558139535
3,11008,11008,362137,36575.42932412791,24910.60198950198,0.2901296493473877,6986,63.46293604651163,8648,78.56104651162791,9649,87.65443313953489
4,11008,11007,362383,36575.429505813954,28239.913129750963,0.3426885626429445,6554,59.53851744186046,8286,75.27252906976744,9371,85.12899709302326
5,11008,11008,365252,36641.12145712209,34536.02991198659,0.4027218051735047,6056,55.01453488372093,7884,71.62063953488372,9063,82.33103197674419
6,11008,11008,364299,36575.42959665698,35821.65641180404,0.4258646012326276,5848,53.125,7690,69.85828488372093,8905,80.89571220930233
7,11008,11008,362342,36575.428869912794,38255.01124753095,0.4643393436804708,5411,49.15515988372093,7320,66.49709302325581,8630,78.39752906976744
8,11008,11008,364508,36575.42996002907,38518.14690980565,0.48036748077634245,5178,47.03851744186046,7109,64.58030523255815,8474,76.98037790697674
9,11008,11008,353998,36575.42941497093,39729.872806390296,0.4882933892305557,5126,46.56613372093023,7040,63.95348837209303,8390,76.21729651162791
10,11008,11008,365126,36575.429505813954,40775.433960286005,0.5149254088049222,4789,43.504723837209305,6728,61.11918604651163,8153,74.06431686046511
11,11008,11008,359452,36575.42905159884,41191.503219473394,0.5121583451951793,4846,44.022529069767444,6794,61.71875,8210,74.58212209302326
12,11008,11008,325640,36575.42996002907,38976.3868989749,0.49649810693072693,4983,45.26707848837209,6890,62.590843023255815,8284,75.25436046511628
13,11008,11008,362884,36575.42914244186,40547.80257966058,0.5106324143550517,4846,44.022529069767444,6796,61.736918604651166,8218,74.65479651162791
14,11008,11008,311025,36575.42977834302,37500.668775731916,0.4773967751200102,5204,47.27470930232558,7121,64.68931686046511,8474,76.98037790697674
15,11008,11008,360328,36575.429233284885,37886.9168641907,0.473967984646511,5287,48.028706395348834,7213,65.52507267441861,8552,77.68895348837209
16,11008,11008,327962,36575.430141715115,38439.52267775817,0.45668027992079346,5574,50.635901162790695,7482,67.96875,8750,79.4876453488372
17,11008,11008,339590,36575.42914244186,31952.383856365643,0.38767318866994066,6181,56.1500726744186,7930,72.03851744186046,9058,82.28561046511628
18,11008,11008,349347,36575.42959665698,28343.577571850965,0.3395301966728134,6575,59.729287790697676,8233,74.79106104651163,9274,84.24781976744185
19,11008,11008,312613,36575.429505813954,25928.673889968642,0.3114334076157008,6795,61.72783430232558,8400,76.30813953488372,9393,85.32885174418605
20,11008,11008,312710,36582.628088662794,24932.333977575167,0.28820958434332933,6990,63.499273255813954,8558,77.74345930232558,9507,86.36446220930233
21,11008,11008,257566,36592.527162063954,19373.035655241598,0.2351308553772111,7325,66.54251453488372,8805,79.98728197674419,9683,87.96329941860465
22,11008,11008,317651,36578.129087936046,16468.78690035352,0.210441981958051,7471,67.86882267441861,8909,80.93204941860465,9750,88.57194767441861
23,11008,11008,253938,36577.22919694767,15799.395112717317,0.19565799244020998,7581,68.86809593023256,9004,81.79505813953489,9823,89.23510174418605
24,11008,11008,311788,36575.42941497093,13870.642980985247,0.18187914055757676,7649,69.48582848837209,9041,82.13117732558139,9835,89.34411337209302
25,11008,11008,334555,36575.42959665698,14936.642370733025,0.18390179501149181,7637,69.37681686046511,9007,81.82231104651163,9791,88.94440406976744
26,11008,11008,245476,36575.42932412791,15665.39417209584,0.19516674203256368,7566,68.73183139534883,8954,81.34084302325581,9742,88.49927325581395
27,11008,11008,283723,36575.42941497093,17717.4255173299,0.2151005620285607,7447,67.65079941860465,8848,80.37790697674419,9650,87.66351744186046
28,11008,11008,303716,36575.4296875,21248.99443364973,0.2432566209966842,7328,66.56976744186046,8785,79.80559593023256,9619,87.38190406976744
29,11008,11008,323302,36575.42914244186,26238.811116872646,0.27650257016567836,7165,65.0890261627907,8689,78.93350290697674,9574,86.97311046511628
30,11008,11008,365356,36575.42905159884,35676.85205045009,0.3577293627698221,6694,60.81031976744186,8407,76.3717296511628,9409,85.47420058139535
31,11008,11005,356425,36575.42914244186,51630.24409562651,0.522018676536144,5150,46.784156976744185,7416,67.36918604651163,8836,80.2688953488372
